"filename", "language", "TypeScript", "YAML", "Markdown", "JSON with Comments", "Ignore", "JavaScript", "JSON", "Docker", "Batch", "Properties", "TypeScript JSX", "PostCSS", "MS SQL", "HTML", "XML", "Swift", "CSV", "TSV", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/arjunaravapalli/personalassistant/personalassistant/.dockerignore", "Ignore", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/arjunaravapalli/personalassistant/personalassistant/.github/workflows/ci.yml", "YAML", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"/Users/arjunaravapalli/personalassistant/personalassistant/.github/workflows/mac-agent-release.yml", "YAML", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 125
"/Users/arjunaravapalli/personalassistant/personalassistant/.prettierignore", "Ignore", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/arjunaravapalli/personalassistant/personalassistant/AGENTS.md", "Markdown", 0, 0, 1588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 1688
"/Users/arjunaravapalli/personalassistant/personalassistant/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 34
"/Users/arjunaravapalli/personalassistant/personalassistant/README.md", "Markdown", 0, 0, 578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 590
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/README.md", "Markdown", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 3, 52
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/drawable/ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/drawable/ic_launcher_monochrome.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/drawable/widget_approval_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/drawable/widget_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/drawable/widget_metric_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/drawable/widget_mic.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/drawable/widget_mic_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/layout/monday_os_widget.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 15, 122
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/layout/monday_os_widget_approval.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/mipmap-anydpi/ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/mipmap-anydpi/ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/values/colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/arjunaravapalli/personalassistant/personalassistant/apps/android/app/src/main/res/xml/monday_os_widget_info.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
